EPAID,SITENAME,SITEADDR,SITECITY,SITECOUNTY,LATITUDE,LONGITUDE
NONCD0001903,REGAL MANUFACTURING,212 12TH AVE,HICKORY,CATAWBA,35.74872,-81.33338
NONCD0001904,BAZEMORE GROCERY,730 MT OLIVE RD,REPUBLICAN,BERTIE,36.08223,-77.0598
NONCD0001907,INTERNATIONAL RESISTIVE CORP.,736 GREENWAY RD.,BOONE,WATAUGA,36.197892,-81.667041
NONCD0001908,INTERPANE GLASS COMPANY,520 EAST RAILROAD ST,CLINTON,SAMPSON,34.993457,-78.304947
NONCD0001909,INTERSTATE N. BUS. PRK,2200 & 2233 INTERSTATE N. DRIV,CHARLOTTE,MECKLENBURG,35.2737,-80.82698
NONCD0001910,ALLEN BRADLEY CO,5925 SUMMIT AVE,GREENSBORO,GUILFORD,36.17602,-79.71627
NONCD0001912,J&G BROKERS - SOLVENTS,750 18TH STREET NE,HICKORY,CATAWBA,35.73655,-81.30248
NONCD0001915,JACKSONLEA-TOLUENE AST,1701 HIGHWAY 70 EAST,CONOVER,CATAWBA,35.70373,-81.18802
NONCD0001917,JAMGOTCH WELL,4640 RANDOLPH ROAD,CHARLOTTE,MECKLENBURG,35.17565,-80.79846
NONCD0001918,JANTZEN WELL- G.L.WILSON,WILSON PARK ROAD,STATESVILLE,IREDELL,35.81479,-80.83776
NONCD0001922,ALKALI SCREEN PRINTING,6420 AMSTERDAM WAY,WILMINGTON,NEW HANOVER,34.26036,-77.84536
NONCD0001923,JENKINS FOODS #2,2119 NEW HOUSE ROAD,SHELBY,CLEVELAND,35.390401,-81.691228
NONCD0001924,JENKINS METAL CORPORATION,936 / 1001 NORTH MARIETTA STRE,GASTONIA,GASTON,35.277826,-81.182031
NONCD0001927,TENNECO ALBEMARLE & LAWYERS RD CT/PCE,7008 ALBEMARLE RD,CHARLOTTE,MECKLENBURG,35.20273,-80.72416
NONCD0001928,JIMMYS QUICKIE MART,6883 OLD HIGHWAY 86,PROVIDENCE,CASWELL,36.502774,-79.371047
NONCD0001930,PANTRY 141,771 BLOWING ROCK RD,BOONE,WATAUGA,36.20791,-81.6722
NONCD0001931,JOHN BOYLE FACILITY,STATESVILLE,STATESVILLE,IREDELL,35.765507,-80.845345
NONCD0001932,JOHN PLUMIDES,4642 SHARON VIEW ROAD,CHARLOTTE,MECKLENBURG,35.138109,-80.804188
NONCD0001933,JOHNSON CONCRETE/PIEDMONT BLOCK,106 OLD DAVIDSON PLACE NW,CONCORD,CABARRUS,35.43299,-80.60772
NONCD0001934,BRP US INC (FRMR),3750 AIRPORT RD,ANDREWS,CHEROKEE,35.185892,-83.896689
NONCD0001936,JOHNSON WELL,135 DILLON STREET,CHINA GROVE,ROWAN,35.555634,-80.597988
NONCD0001937,PATRICIAN FURNITURE-RAVINE,1105-1107 W MARKET CENTER DR,HIGH POINT,GUILFORD,35.93023,-80.01601
NONCD0001938,JONES ELECTRIC REPAIR CO,4251 GOLF ACRES DR,CHARLOTTE,MECKLENBURG,35.223333,-80.915277
NONCD0001939,PETRO EXPRESS NO. 56,225 CLEVELAND AVE,KINGS MOUNTAIN,CLEVELAND,35.2453,-81.3313
NONCD0001942,JR HEATH PROPERTY,2146 OLD STAGE HWY (HWY87),RIEGELWOOD,COLUMBUS,34.32936,-78.21864
NONCD0001943,ELECTROLUX/WHITE CONSOLIDATED,MERRIMAN AVE,CHARLOTTE,MECKLENBURG,35.220666,-80.864237
NONCD0001945,COMAR INDUSTRIES/MELVILLE KNITWARE,915 CURTIS ST,MONROE,UNION,34.9811,-80.53414
NONCD0001946,KAISER FLUID TECHNOLOGIES,530 EAST SUGAR CREEK ROAD,CHARLOTTE,MECKLENBURG,35.252689,-80.792515
NONCD0001947,KAYSER-ROTH,3707 W. 5TH ST,LUMBERTON,ROBESON,34.6132,-79.06838
NONCD0001948,KAYSER-ROTH - ASHEBORO,515 W. BALFOUR AVE.,ASHEBORO,RANDOLPH,35.746667,-79.81695
NONCD0001949,KAYSER-ROTH - GRAHAM-C,219 W. HARDEN ST.,GRAHAM,ALAMANCE,36.071027,-79.403805
NONCD0001950,KEN DUNCAN HEATING & COOLING #2,5002 HICKORY GROVE RD,MT. HOLLY,GASTON,35.326891,-81.084863
NONCD0001951,KERN POLYMERIC,465 AIRPORT ROAD,SALISBURY,ROWAN,35.63598,-80.52398
NONCD0001952,KERR FACILITY - AHOSKIE,228 JOHNNY MITCHELL RD,AHOSKIE,HERTFORD,36.26834,-77.0027
NONCD0001953,KEYSTONE POWDERED METAL COMPANY,100 COMMERCE DRIVE,CHERRYVILLE,GASTON,35.39357,-81.34223
NONCD0001954,KFC - UNIVERSITY PARK SHOPPING CENTER,2121 BEATTIES FORD ROAD,CHARLOTTE,MECKLENBURG,35.26392,-80.85491
NONCD0001955,KIKER HOSIERY,BROWNS HILL RD,LOCUST,STANLY,35.24401,-80.45801
NONCD0001956,KILDARE DRIVE SITE,KILDARE DRIVE,CHARLOTTE,MECKLENBURG,35.24848,-80.75411
NONCD0001958,BELTON STREET SOLVENTS,BELTON ST & GREYSTONE RD,CHARLOTTE,MECKLENBURG,35.19669,-80.86852
NONCD0001959,KINGS MOUNTAIN SMARTWAY,U.S. 74 AND N.C. 161,KINGS MOUNTAIN,CLEVELAND,35.241272,-81.332726
NONCD0001961,"KIRSCHNER, GEORGE PROPERTY",6806 MILLHOUSE ROAD,CHAPEL HILL,ORANGE,35.97936,-79.07688
NONCD0001962,KITTY DRIVE,4126 KITTY DRIVE,CHARLOTTE,MECKLENBURG,35.307434,-80.8579
NONCD0001964,"KLUTTZ FOUNDRY, FORMER",711 EAST FRANKLIN BLVD,GASTONIA,GASTON,35.26222,-81.17138
NONCD0001966,28TH STREET TCE CONTAMINATION,2500 BLOCK OF STOKES AVE,WINSTON-SALEM,FORSYTH,36.12275,-80.23817
NONCD0001967,"AMERICAN DISTILLATION, INC",1690 NE ROYSTER RD,LELAND,BRUNSWICK,34.27005,-78.00383
NONCD0001968,MEREDITH-WEBB PRINTING COMPANY,334 N MAIN STREET,BURLINGTON,ALAMANCE,36.09734,-79.43243
NONCD0001973,KYSOR-MICH. FLEET DIVISION,5019 HOVIS ROAD,CHARLOTTE,MECKLENBURG,35.269036,-80.899176
NONCD0001974,LACY ALLRED FARM SUBDIVISION,ANITA LANE,GREENSBORO,GUILFORD,36.16633,-79.71579
NONCD0001977,LAKE RIM SOLVENTS,RIM ROAD & SANDRA STREET,FAYETTEVILLE,CUMBERLAND,35.03035,-79.04921
NONCD0001980,"LAN-O-SHEEN, INC.",201 DICKENS RD,FUQUAY-VARINA,WAKE,35.61558,-78.80656
NONCD0001982,LAWYERS ROAD WELLS,12315 LAWYERS ROAD,CHARLOTTE,MECKLENBURG,35.16124,-80.64876
NONCD0001983,LB FOSTER (FORMER),1625 & 1701 STARITA ROAD,CHARLOTTE,MECKLENBURG,35.268673,-80.816455
NONCD0001985,LEBANON CHEMICAL CORPORATION,1665 HIGHWAY 64 E,PLYMOUTH,WASHINGTON,35.86907,-76.71876
NONCD0001986,LEBANON UNLOADING STATION,VANCE STREET,ROCKY MOUNT,EDGECOMBE,35.92342,-77.79756
NONCD0001987,FAIRWAY ONE STOP NO. 5,1253 N LIBERTY ST,WINSTON-SALEM,FORSYTH,36.11086,-80.23436
NONCD0001988,LEE PAVING / NCDOT SITE #31,SR 1179 (ROCKY FORK CH.RD.),SANFORD,LEE,35.39465,-79.22014
NONCD0001989,"PEDEN FAMILY, LLC",1859 CAPITAL BLVD,RALEIGH,WAKE,35.80813,-78.6182
NONCD0001990,LEE PAVING/NCDOT #48,SUGAR LAKE RD. [SR 1714],GRIFFINS CROSSROADS,CHATHAM,35.746944,-79.090555
NONCD0001991,LEESONA - ALAMANCE CO PLANT - NONUST,2727 TUCKER ST. EXT,BURLINGTON,ALAMANCE,36.059668,-79.456404
NONCD0001992,ATANDO AVE SOLVENT CONTAMINATION,527 ATANDO AVE,CHARLOTTE,MECKLENBURG,35.25825,-80.81686
NONCD0001994,SOUTH BOULEVARD SOLVENT CONTAMINATION,3000 BLOCK SOUTH BOULEVARD,CHARLOTTE,MECKLENBURG,35.19477,-80.87052
NONCD0001996,AMERICAN SKIN FOOD GROUP,140 INDUSTRIAL DR,BURGAW,PENDER,34.54327,-77.91965
NONCD0001997,HICKORY-LINCOLNTON HWY WELLS (SWINKS),HICKORY-LINCOLNTON HWY & ROCKY,NEWTON,CATAWBA,35.61107,-81.31612
NONCD0001998,LEONARD THOMPSON (GROVES SALVAGE),T C JONES ROAD,RAEFORD,HOKE,34.95847,-79.08027
NONCD0002001,"LEWIS PROPERTY, MAE",7182 SOCKWELL ROAD,ELON COLLEGE,GUILFORD,36.174315,-79.540125
NONCD0002004,COLONIAL ICE COMPANY (FRMR),405 E KING ST,KINSTON,LENOIR,35.258463,-77.574892
NONCD0002006,INDEPENDENCE PROPERTY,3030 E INDEPENDENCE BLVD,CHARLOTTE,MECKLENBURG,35.20298,-80.79135
NONCD0002009,"LINDE GASES, FORMER",2810 WEST TRADE STREET,CHARLOTTE,MECKLENBURG,35.251765,-80.867927
NONCD0002010,LINK ROAD SITE,1725 LINK ROAD,WINSTON-SALEM,FORSYTH,36.07144,-80.26238
NONCD0002011,LITTON-AIRTRON,1201 CONTINENTAL BLVD.,CHARLOTTE,MECKLENBURG,35.119338,-80.922101
NONCD0002012,LIVINGSTONE COATINGS CORPORATION,240 RHYNE ROAD,CHARLOTTE,MECKLENBURG,35.28881,-80.97012
NONCD0002013,LOCK ON,1506 LANDIS STREET,SANFORD,LEE,35.50018,-79.17782
NONCD0002016,LONGVIEW GOLF COURSE,6321 BALLINGER ROAD,GREENSBORO,GUILFORD,36.100858,-79.908277
NONCD0002018,LOVE LUMBER COMPANY #3,301 WEST STANLY STREET,STANFIELD,STANLY,35.232686,-80.428558
NONCD0002019,AZALEA LANE CONTAMINATION,HARTLEY ST & AZALEA LN,CHARLOTTE,MECKLENBURG,35.26893,-80.82047
NONCD0002020,NORTHWEST BLVD PCE CONTAMINATION,2950 NORTHWEST BLVD,NEWTON,CATAWBA,35.69459,-81.22602
NONCD0002022,LYONS RESIDENCE,3800 GLENWOOD DRIVE,CHARLOTTE,MECKLENBURG,35.24904,-80.88553
NONCD0002024,MAGLA PRODUCTS 1,404 NORTH CHURCH STREET,HUNTERSVILLE,MECKLENBURG,35.41656,-80.83993
NONCD0002025,ANDREA DRIVE CONTAMINATION,101 ANDREA DR,JAMESTOWN,GUILFORD,36.04007,-79.91215
NONCD0002026,MAIN STREET SOLVENT SITE,WEST MAIN STREET,LOCUST,STANLY,35.25452,-80.44151
NONCD0002027,MAKEPEACE PROPERTY,1214 HAWKINS AVENUE,SANFORD,LEE,35.49674,-79.17966
NONCD0002028,MALLARD GRIFFIN LUMBER,1304 W VERNON AVE,KINSTON,LENOIR,35.268888,-77.599444
NONCD0002030,MYERS BROTHERS RECYCLING (FORMER),3303 SPRING GARDEN ST,GREENSBORO,GUILFORD,36.05926,-79.84763
NONCD0002031,OLD MOUNTAIN & BUFFALO SHOALS RDS WELLS,BUFFALO SHOALS & OLD MOUNTAIN,STATESVILLE,IREDELL,35.73516,-80.94384
NONCD0002032,MARION KULICK - FORMER CATTLE DIP VAT,JUNIOR ROAD,FRISCO,DARE,35.234722,-75.631666
NONCD0002033,MARKET BASKET - SOLVENTS,6593 HIGHWAY 16,CONOVER,CATAWBA,35.812861,-81.190739
NONCD0002034,MARTIN PROPERTY #2,2328 DAVIE AVE,STATESVILLE,IREDELL,35.80744,-80.84964
NONCD0002035,MARTINS FOOD CENTER - SOLVENTS,"7150 NC HIGHWAY 10 WEST, BANOA",VALE,CATAWBA,35.59389,-81.40128
NONCD0002038,SILVERMAN PROPERTY,48 SWANNANOA RIVER RD,ASHEVILLE,BUNCOMBE,35.57026,-82.54015
NONCD0002039,MASON RESIDENCE,409 BIVENS RD,MONROE,UNION,34.9905,-80.4837
NONCD0002040,HWY 70 PCE (HICKORY 66 SERVICE),1727 HWY 70 SW,HICKORY,CATAWBA,35.72215,-81.3698
NONCD0002041,"MASSEY RESIDENCE, GLEN",540 TROLLINGWOOD ROAD,HAW RIVER,ALAMANCE,36.081339,-79.344597
NONCD0002044,KAPP ST FERTILIZER SPILL,515 W KAPP ST,DOBSON,SURRY,36.39638,-80.72842
NONCD0002046,MATTHEWS COUNTRY CLUB,465 SAM NEWELL ROAD,MATTHEWS,MECKLENBURG,35.12293,-80.71893
NONCD0002047,"MATTHEWS, VC RESIDENCE",3426 HIGHWAY 55,DURHAM,DURHAM,35.93004,-78.88925
NONCD0002048,MAULDIN WELL,310 MITCHELL ST,BELMONT,GASTON,35.181989,-81.020229
NONCD0002049,MAXTON OIL & FERT. CO. - PLANT,207 N MCNAIR ST,MAXTON,ROBESON,34.74084,-79.35257
NONCD0002050,MAXTON OIL & FERT. CO. - SHAW FARM,SR 1424,WAGRAM,SCOTLAND,34.871329,-79.418488
NONCD0002053,"MCDONALD RESIDENCE, ELIZABETH",3560 MT. HERMAN ROCK CREEK RD,GRAHAM,ALAMANCE,35.98938,-79.394599
NONCD0002054,PINETOPS JENKINS CLEANERS,106 S 2ND ST,PINETOPS,EDGECOMBE,35.79026,-77.63692
NONCD0002055,MCKELVEY NITRATES,6148 ST JOHNS LANE,CHARLOTTE,MECKLENBURG,35.125801,-80.841154
NONCD0002056,MCLEAN ROAD,2532 MCLEAN ROAD,CHARLOTTE,MECKLENBURG,35.284994,-80.716447
NONCD0002063,EDENTON DYEING & FINISHING (FRMR),125 DYE PLANT RD,EDENTON,CHOWAN,36.20562,-76.71274
NONCD0002066,METPRO PROP.(FOR. DRY CLEANER),1030 PATTON AVE.,ASHEVILLE,BUNCOMBE,35.58644,-82.59255
NONCD0002068,MICROMATIC/TEXTRON FACILITY,105 LYTLE COVE ROAD,SWANNANOA,BUNCOMBE,35.601508,-82.367452
NONCD0002073,MILFORD HILLS PCE SITE,SPRING AND COLONIAL DRIVES,SALISBURY,ROWAN,35.688574,-80.508077
NONCD0002077,"MILLS YARN, INC.",1125 7TH AVE N.W,HICKORY,CATAWBA,35.741972,-81.360565
NONCD0002078,ROCHELLE STREET WELLS,2505 ROCHELLE ST,DURHAM,DURHAM,35.99133,-78.8573
NONCD0002079,MINI-MART,1250 OLD CHARLOTTE RD.,CONCORD,CABARRUS,35.37087,-80.597888
NONCD0002085,MITSUBISHI ELECTRONICS,THREE DIAMOND LANE,DURHAM,DURHAM,36.05286,-78.86904
NONCD0002087,ROXOBEL TEXACO,102 N MAIN ST,ROXOBEL,BERTIE,36.20342,-77.24498
NONCD0002088,MODEL LINEN SERVICE - B,120 W. LEWIS STREET,GREENSBORO,GUILFORD,36.06664,-79.79146
NONCD0002090,MOEN - SANFORD,2609 COX MILL RD.,SANFORD,LEE,35.45651,-79.10514
NONCD0002092,MONROE ICE AND FUEL (SOLVENTS),601 NORTH CHARLOTTE AVE,MONROE,UNION,34.98641,-80.55348
NONCD0002093,MONROE MUNICIPAL SERVICE,2401 WALKUP AVE,MONROE,UNION,34.99044,-80.50833
NONCD0002094,BEASLEY AVE WELLS,3034-3036 HOLLOWAY STREET,DURHAM,DURHAM,35.98552,-78.83996
NONCD0002095,MOORES RENTAL #2,625 NORTH MAIN STREET,SALISBURY,ROWAN,35.67215,-80.46301
NONCD0002098,MORGAN MILLS (DAWSON PLANT #6),200 HWY 24/27,ALBEMARLE,STANLY,35.340296,-80.201393
NONCD0002100,MORTON RESIDENCE,"HWY 200, S OF STANFIELD",STANFIELD,STANLY,35.194361,-80.399208
NONCD0002103,MOUNTAIN VIEW MARKETPLACE,2341 ROCKSHIRE LANE (OFF 127 S,HICKORY,CATAWBA,35.69274,-81.35794
NONCD0002105,MTE HYDRAULICS,108 CHICKASAW ROAD @ JCT W/ PE,GASTONIA,GASTON,35.184819,-81.203618
NONCD0002106,MULLINEX GROCERY,3079 HIGHWAY 109,TROY,MONTGOMERY,35.41464,-80.00378
NONCD0002109,MYATT PROPERTY,1822 ENGLISH RD.,HIGH POINT,GUILFORD,35.94374,-80.02433
NONCD0002110,MYERS BROTHERS GIN SOLVENTS,3165 WOODLEAF ROAD,SALISBURY,ROWAN,35.70861,-80.525
NONCD0002111,MYERS WELL,14217 SPRINGWATER DRIVE,MATTHEWS,MECKLENBURG,35.130288,-80.669333
NONCD0002112,N. TRYON MALL (CLEANING),451 E SUGAR CREEK RD,CHARLOTTE,MECKLENBURG,35.25384,-80.79213
NONCD0002114,NAI MAXWELL PROPERTY,612 INDUSTRIAL AVE,GREENSBORO,GUILFORD,36.02567,-79.775293
NONCD0002116,NAPA/LOCKAMY'S BODY SHOP (FORMER),1305 US 70 HWY WEST,GARNER,WAKE,35.72026,-78.64166
NONCD0002118,NATIONAL PARTITIONS & INTERIORS (FORMER),321 EAST J STREET,MAIDEN,CATAWBA,35.562735,-81.194084
NONCD0002119,NATIONAL TRANSPORT #2,601 JOHNSON ROAD,CHARLOTTE,MECKLENBURG,35.261944,-80.811666
NONCD0002121,NATIONS BANK - SOLVENT,201 NORTH TRYON STREET,CHARLOTTE,MECKLENBURG,35.22886,-80.84136
NONCD0002122,MORGAN MILL RD CONTAMINATION,5613 MORGAN MILL RD,MONROE,UNION,35.07419,-80.47921
NONCD0002123,ERWIN MILLS #3,314 MAIN ST,COOLEEMEE,DAVIE,35.80707,-80.55784
NONCD0002124,WELDON MILL (FRMR),E 11TH ST & SYCAMORE ST,WELDON,HALIFAX,36.41529,-77.60283
NONCD0002125,NC FOAM INDUSTRIES - NONUST,511 CARTER ST.,MOUNT AIRY,SURRY,36.474287,-80.607719
NONCD0002128,PURINA MILLS,HWY 301 SOUTH,WILSON,WILSON,35.70409,-77.92063
NONCD0002129,NCDOT - ATL 16-6,"OFF NCSR 1387, NEAR ELIZ. CITY",ELIZABETH CITY,PASQUOTANK,36.31102,-76.20883
NONCD0002130,NCDOT - FORMER ASPHALTIC TESTING SITE 62,OFF DRIFTWOOD DRIVE,MANTEO,DARE,35.92037,-75.68984
NONCD0002133,NCDOT - SITE #8 STOKESDALE ASPHALT,6826 US HWY 158,STOKESDALE,GUILFORD,36.239935,-79.932305
NONCD0002134,NCDOT - SITE #9 PAPCO ASPHALT,SR 1120,WINSTON-SALEM,FORSYTH,36.03046,-80.31783
NONCD0002135,NCDOT - SITE #10 JAMESTOWN ASPHALT,5730 RIVERDALE DR.,JAMESTOWN,GUILFORD,35.963325,-79.921705
NONCD0002136,NCDOT - SITE NO 16 LEXINGTON ASPHALT,CITY DUMP ROAD,LEXINGTON,DAVIDSON,35.831388,-80.223611
NONCD0002137,NCDOT - SITE #23 KIRKPATRICK ASPHALT,1521 HUFFMAN MILL RD,BURLINGTON,ALAMANCE,36.057294,-79.510217
NONCD0002138,NCDOT - SITE #24 RAMEY CONST. ASPHALT,PATTERSON AVE.,WINSTON-SALEM,FORSYTH,36.18074,-80.26762
NONCD0002139,NCDOT - SITE #25 MARTIN MARIETTA GBORO,825 MARIETTA RD.,GREENSBORO,GUILFORD,36.060833,-79.926111
NONCD0002140,NCDOT - SITE #26 MARTIN MARIETTA BURLING,1671 HUFFMAN MILL RD,BURLINGTON,ALAMANCE,36.04882,-79.50939
NONCD0002141,NCDOT - SITE #38 BROWN BROTHERS ASPHALT,HWY 105,BOONE,WATAUGA,36.20751,-81.71481
NONCD0002142,NCDOT - SITE #42 APAC ASPHALT PLANT,PINE VIEW ROAD,ASHEBORO,RANDOLPH,35.763544,-79.826674
NONCD0002143,NCDOT - SITE #43 RILEY PAVING ASPHALT,HWY 421,LIBERTY,RANDOLPH,35.82724,-79.58095
NONCD0002145,NCDOT - SITE #54 THOMPSON ARTHUR ASPHALT,2805 INDIANA AVE.,WINSTON-SALEM,FORSYTH,36.12654,-80.23595
NONCD0002146,NCDOT - SITE #55 PAPCO-SHERRILL ASPHALT,CRAFT DRIVE,WINSTON-SALEM,FORSYTH,36.1456,-80.25991
NONCD0002147,NCDOT - SITE #59 WENTWORTH ASPHALT,HWY 65/87,WENTWORTH,ROCKINGHAM,36.372432,-79.724869
NONCD0002148,NCDOT - SITE #61 NORFOLK SOUTHERN/THOMPS,1124 S. HOLDEN ROAD,GREENSBORO,GUILFORD,36.05886,-79.84287
NONCD0002150,NCDOT - SITE #73,1608 HIGHWAY 221 NORTH,JEFFERSON,ASHE,36.4513,-81.40441
NONCD0002151,NCDOT - SURRY COUNTY,HWY 601 NORTH,DOBSON,SURRY,36.420412,-80.684628
NONCD0002155,NCDOT ASPHALT LAB SITE NO.71,NORTHSIDE ROAD(HWY-158),ELIZABETH CITY,PASQUOTANK,36.41085,-76.33408
NONCD0002156,NCDOT ASPHALT MATERIAL TEST LAB NO 52,6190 NEW BERN HWY,MAYSVILLE,ONSLOW,34.853888,-77.274166
NONCD0002157,NCDOT ASPHALT SITE NO 12_BOGGS,2318 CONCORD HWY,MONROE,UNION,35.01487,-80.54124
NONCD0002158,NCDOT ASPHALT SITE NO 13_REA CONTSR,6001 OLD DOWD ROAD,CHARLOTTE,MECKLENBURG,35.22831,-80.93911
NONCD0002159,NCDOT ASPHALT SITE #14,OLD NATIONS FORD RD,PINEVILLE,MECKLENBURG,35.115277,-80.898333
NONCD0002160,NCDOT ASPHALT SITE #17/BLYTHE DEVELOPMEN,OFF OF ERVIN LANE - 9510 RODNE,PINEVILLE,MECKLENBURG,35.105555,-80.894444
NONCD0002161,NCDOT ASPHALT SITE #2 (CROWDER CONST),"CROWDER CONST, HWY 16, 6433 BR",CHARLOTTE,MECKLENBURG,35.2886,-80.91383
NONCD0002162,NCDOT ASPHALT SITE #20 (APAC),1520 11TH AVENUE SE,HICKORY,CATAWBA,35.716989,-81.307989
NONCD0002163,NCDOT ASPHALT SITE #22 ( ASPHALT PAVING,HWY74/LONG BRANCH ROAD,SHELBY,CLEVELAND,35.250683,-81.464313
NONCD0002164,NCDOT ASPHALT SITE #3/BROWN PAVING,INTERSECTION OF SR 1305 AND HW,ROCKINGHAM,RICHMOND,34.99921,-79.77731
NONCD0002165,NCDOT ASPHALT SITE #32/JOHNSON BROS,1924 N MAIN ST,LILLINGTON,HARNETT,35.42259,-78.7982
NONCD0002166,NCDOT ASPHALT SITE #35,500 INDUSTRIAL AVE,ROCKWELL,ROWAN,35.555299,-80.399858
NONCD0002167,NCDOT ASPHALT SITE #4 (M & M MINERALS),"N OF HWY 73, S OF I-85, W OF H",CONCORD,CABARRUS,35.435119,-80.609054
NONCD0002168,NCDOT ASPHALT SITE #40/BLYTHE IND.,7450 POPLAR TENT ROAD,CONCORD,CABARRUS,35.403539,-80.701306
NONCD0002169,NCDOT ASPHALT SITE #47/BARNHILL,936 SHAW MILL RD,FAYETTEVILLE,CUMBERLAND,35.11356,-78.92286
NONCD0002170,NCDOT ASPHALT SITE #5 (REA CONSTRUCTION),1220 NORTH WENDOVER ROAD,CHARLOTTE,MECKLENBURG,35.19499,-80.792812
NONCD0002171,NCDOT ASPHALT SITE #56/BLYTHE IND.,2911 NORTH GRAHAM STREET,CHARLOTTE,MECKLENBURG,35.260182,-80.825203
NONCD0002172,NCDOT ASPHALT SITE #57 - REA CONSTRUCTIO,2701 YOUNGBLOOD COURT,CHARLOTTE,MECKLENBURG,35.202802,-80.868346
NONCD0002173,NCDOT ASPHALT SITE #66/APAC,164 BOSTIAN BRIDGE DR (OFF BUF,STATESVILLE,IREDELL,35.765383,-80.919913
NONCD0002174,NCDOT ASPHALT SITE #67,11333 REAMES ROAD,CHARLOTTE,MECKLENBURG,35.34951,-80.83066
NONCD0002176,NCDOT ASPHALT TESTING LAB SITE # 50,SE OF NC11 & NC308,LEWISTON,BERTIE,36.1195,-77.17381
NONCD0002177,NCDOT BRIDGE 108,GRAHAM STREET BRIDGE OVER RR T,CHARLOTTE,MECKLENBURG,35.23747,-80.83757
NONCD0002179,NCDOT DIV 10 FACILITY (FORMER),1119 E SUGAR CREEK RD,CHARLOTTE,MECKLENBURG,35.245372,-80.786009
NONCD0002180,NCDOT FACILITY-UNION,NCSR 1130,UNION,HERTFORD,36.3275,-77.023333
NONCD0002182,NCDOT ROSMAN-SALT STORAGE,SR 1388,ROSMAN,TRANSYLVANIA,35.1568,-82.81077
NONCD0002186,NCDOT SELMA PLANT P-11,PEEDIN STREETA.G. LEE TRUCK ST,SELMA,JOHNSTON,35.513161,-78.318428
NONCD0002187,LWY GROOMETOWN ECKERD,3611 GROOMETOWN RD,GREENSBORO,GUILFORD,36.0158,-79.86527
NONCD0002188,NCDOT SITE #44/QUAIL RIDGE,QUAIL RIDGE DR.,SANFORD,LEE,35.39125,-79.23584
NONCD0002191,NCDOT SITE-C.C. MANGUM US 64E,5201 OLD US 64 EAST,RALEIGH,WAKE,35.79492,-78.5466
NONCD0002192,NCDOT/FRANKLIN RESIDENCE,"OFF 181, RT 2",NEWLAND,AVERY,36.07663,-81.91194
NONCD0002193,NCDOT-FORMER ASPHALT TEST.#37,HWY 158 AT MAIME SR# SIDE ROAD,POWELLS POINT,CURRITUCK,36.12848,-75.83116
NONCD0002194,NCSPA BLDG C-1,2202 BURNETT BLVD,WILMINGTON,NEW HANOVER,34.19964,-77.95307
NONCD0002197,NEW GENERATION YARN,1248 SPRINGWOOD CHURCH RD,GIBSONVILLE,GUILFORD,36.085195,-79.547465
NONCD0002201,NEWS & OBSERVER MECH BLV-SPILL,1400 MECHANICAL BLVD.,GARNER,WAKE,35.71955,-78.62755
NONCD0002203,ALLEN LANE CONTAMINATED WELLS,3000 US 70 BYPASS,HILLSBOROUGH,ORANGE,36.05961,-79.05173
NONCD0002204,NIVENS PROPERTY,3022 GRIFFITH STREET,CHARLOTTE,MECKLENBURG,35.20088,-80.87161
NONCD0002205,"AMP,INC-BLDG 090",375 W BODENHAMER ST,KERNERSVILLE,FORSYTH,36.12873,-80.07792
NONCD0002211,NORFOLK SOUTHERN RAILWAY-SOLVENT-UNIQEMA,2100 NORTH TRYON ST.,CHARLOTTE,MECKLENBURG,35.243095,-80.820604
NONCD0002212,NORFOLK SOUTHERN RAILYARD- PCE,33 MEADOW ROAD,ASHEVILLE,BUNCOMBE,35.56816,-82.54588
NONCD0002216,CROWN AUTO DEALERSHIP,3607 W WENDOVER AVE,GREENSBORO,GUILFORD,36.059406,-79.86821
NONCD0002218,NORTH LIBERTY STREET PROPERTY @ SAMS CUR,4215 N LIBERTY ST,WINSTON-SALEM,FORSYTH,36.147602,-80.225262
NONCD0002219,NORTHERN TELECOM-CEM.TANK SOLV,4600 EMPEROR BLVD.,MORRISVILLE,DURHAM,35.875937,-78.838949
NONCD0002223,STANLY STATION SHOPPING CENTER,636 NC HWY 27 E,ALBERMARLE,STANLY,35.34252,-80.17237
NONCD0002226,O W SLANE GLASS WELL,606 MECHAM ROAD,STATESVILLE,IREDELL,35.79257,-80.92035
NONCD0002228,OAK ISLAND POLICE DEPT.,4621 E. OAK ISLAND DRIVE,OAK ISLAND,BRUNSWICK,33.9127,-78.1166
NONCD0002229,OGBURN DRY CLEANERS (FORMER)/ONE HOUR,4318 OLD WALKERTOWN ROAD,WINSTON-SALEM,FORSYTH,36.150137,-80.222871
NONCD0002231,OHENRY CLEANERS,3210 SUMMIT AVENUE,GREENSBORO,GUILFORD,36.117498,-79.763221
NONCD0002232,OLD COLONIAL MARBLE,9943 PACKARD ST,PINEVILLE,MECKLENBURG,35.103888,-80.885
NONCD0002234,OLD SEALTEST DAIRY SOLVENTS,2115 HWY 70 SE,HICKORY,CATAWBA,35.70466,-81.30008
NONCD0002236,OLYMPIC PRODUCTS,4100 PLEASANT GARDEN,GREENSBORO,GUILFORD,36.007385,-79.781715
NONCD0002237,OMC FACILITY (FORMER),160 EXECUTIVE DRIVE,RUTHERFORDTON,RUTHERFORD,35.3625,-81.955
